id,departure,arrival,date,time_departure,duration_minutes,cost,distance_km,airline
40,Казань,Москва,2026-07-01,19:20:00,51,13864,718,Победа
41,Москва,Казань,2026-07-01,22:50:00,52,9515,718,Red Wings
42,Казань,Москва,2026-07-01,22:15:00,52,10416,718,S7 Airlines
43,Москва,Самара,2026-07-01,06:00:00,66,11586,856,S7 Airlines
44,Самара,Москва,2026-07-01,07:45:00,66,14144,856,Аэрофлот
45,Москва,Самара,2026-07-01,06:20:00,64,13805,856,Аэрофлот
46,Самара,Москва,2026-07-01,08:45:00,64,16341,856,S7 Airlines
47,Москва,Самара,2026-07-01,08:20:00,64,13783,856,Red Wings
48,Самара,Москва,2026-07-01,19:00:00,64,16801,856,Уральские авиалинии
49,Москва,Самара,2026-07-01,12:30:00,65,14978,856,Red Wings
50,Самара,Москва,2026-07-01,21:15:00,65,12312,856,Победа
51,Москва,Самара,2026-07-01,12:50:00,64,14336,856,Победа
52,Самара,Москва,2026-07-01,08:30:00,64,15367,856,S7 Airlines
53,Москва,Самара,2026-07-01,13:40:00,64,12878,856,Победа
54,Самара,Москва,2026-07-01,18:35:00,64,15557,856,S7 Airlines
55,Москва,Самара,2026-07-01,16:25:00,66,14645,856,Аэрофлот
56,Самара,Москва,2026-07-01,13:00:00,66,16016,856,Аэрофлот
57,Москва,Самара,2026-07-01,18:45:00,62,15476,856,Победа
58,Самара,Москва,2026-07-01,08:45:00,62,14675,856,Россия
59,Москва,Самара,2026-07-01,23:10:00,62,11548,856,Россия
60,Самара,Москва,2026-07-01,08:00:00,62,14166,856,Уральские авиалинии
61,Москва,Самара,2026-07-01,23:40:00,65,10469,856,Уральские авиалинии
62,Самара,Москва,2026-07-01,20:20:00,65,15714,856,Аэрофлот
63,Москва,Уфа,2026-07-01,08:15:00,86,18772,1164,Уральские авиалинии
64,Уфа,Москва,2026-07-01,07:35:00,86,17648,1164,Россия
65,Москва,Уфа,2026-07-01,08:55:00,88,18538,1164,Red Wings
66,Уфа,Москва,2026-07-01,17:35:00,88,23137,1164,Аэрофлот
67,Москва,Уфа,2026-07-01,10:00:00,87,22579,1164,S7 Airlines
68,Уфа,Москва,2026-07-01,10:35:00,87,22636,1164,Уральские авиалинии
69,Москва,Уфа,2026-07-01,10:05:00,91,23283,1164,S7 Airlines
70,Уфа,Москва,2026-07-01,11:40:00,91,20968,1164,Россия
71,Москва,Уфа,2026-07-01,11:15:00,87,21001,1164,Red Wings
72,Уфа,Москва,2026-07-01,10:00:00,87,20582,1164,Победа
73,Москва,Уфа,2026-07-01,15:30:00,87,20906,1164,Аэрофлот
74,Уфа,Москва,2026-07-01,22:00:00,87,14237,1164,Победа
75,Москва,Уфа,2026-07-01,17:25:00,90,19746,1164,Россия
76,Уфа,Москва,2026-07-01,09:20:00,90,25313,1164,Аэрофлот
77,Москва,Уфа,2026-07-01,23:00:00,83,17355,1164,Аэрофлот
78,Уфа,Москва,2026-07-01,07:25:00,83,17524,1164,S7 Airlines
79,Москва,Волгоград,2026-07-01,06:50:00,67,11985,899,Уральские авиалинии
80,Волгоград,Москва,2026-07-01,12:45:00,67,14548,899,Победа
81,Москва,Волгоград,2026-07-01,07:40:00,66,11962,899,Победа
82,Волгоград,Москва,2026-07-01,20:20:00,66,15086,899,Победа
83,Москва,Волгоград,2026-07-01,11:15:00,68,17109,899,Аэрофлот
84,Волгоград,Москва,2026-07-01,18:05:00,68,17274,899,Аэрофлот
85,Москва,Волгоград,2026-07-01,18:20:00,64,17550,899,S7 Airlines
86,Волгоград,Москва,2026-07-01,13:25:00,64,17664,899,Аэрофлот
87,Москва,Волгоград,2026-07-01,18:40:00,67,15389,899,Победа
88,Волгоград,Москва,2026-07-01,17:35:00,67,14712,899,Победа
89,Москва,Волгоград,2026-07-01,19:10:00,69,15415,899,Red Wings
90,Волгоград,Москва,2026-07-01,12:20:00,69,18652,899,Аэрофлот
91,Москва,Саратов,2026-07-01,08:15:00,53,11629,724,Red Wings
92,Саратов,Москва,2026-07-01,10:30:00,53,12777,724,Победа
93,Москва,Саратов,2026-07-01,08:25:00,52,12228,724,Победа
94,Саратов,Москва,2026-07-01,07:05:00,52,11794,724,Аэрофлот
95,Москва,Саратов,2026-07-01,11:35:00,53,11959,724,Победа
96,Саратов,Москва,2026-07-01,08:45:00,53,11640,724,Победа
97,Москва,Саратов,2026-07-01,21:50:00,53,11189,724,Россия
98,Саратов,Москва,2026-07-01,06:10:00,53,10282,724,Аэрофлот
99,Москва,Екатеринбург,2026-07-01,06:45:00,104,17504,1416,Уральские авиалинии
100,Екатеринбург,Москва,2026-07-01,23:00:00,104,21249,1416,Аэрофлот
101,Москва,Екатеринбург,2026-07-01,09:05:00,107,28319,1416,S7 Airlines
102,Екатеринбург,Москва,2026-07-01,13:35:00,107,24039,1416,Red Wings
103,Москва,Екатеринбург,2026-07-01,13:50:00,108,24326,1416,Уральские авиалинии
104,Екатеринбург,Москва,2026-07-01,11:00:00,108,29457,1416,S7 Airlines
105,Москва,Екатеринбург,2026-07-01,17:35:00,101,26560,1416,S7 Airlines
106,Екатеринбург,Москва,2026-07-01,21:45:00,101,21456,1416,Победа
107,Москва,Екатеринбург,2026-07-01,17:45:00,110,23778,1416,Уральские авиалинии
108,Екатеринбург,Москва,2026-07-01,23:20:00,110,18583,1416,S7 Airlines
109,Москва,Екатеринбург,2026-07-01,18:25:00,101,28455,1416,Аэрофлот
110,Екатеринбург,Москва,2026-07-01,16:00:00,101,23003,1416,S7 Airlines
111,Москва,Екатеринбург,2026-07-01,23:45:00,109,17911,1416,Россия
112,Екатеринбург,Москва,2026-07-01,10:50:00,109,26894,1416,S7 Airlines
113,Москва,Челябинск,2026-07-01,11:55:00,109,32571,1496,Аэрофлот
114,Челябинск,Москва,2026-07-01,19:45:00,109,27164,1496,Red Wings
115,Москва,Челябинск,2026-07-01,13:00:00,106,23537,1496,Red Wings
116,Челябинск,Москва,2026-07-01,11:30:00,106,29512,1496,S7 Airlines
117,Москва,Челябинск,2026-07-01,14:30:00,113,21475,1496,Победа
118,Челябинск,Москва,2026-07-01,13:20:00,113,23892,1496,Победа
119,Москва,Тюмень,2026-07-01,10:00:00,126,29253,1697,Победа
120,Тюмень,Москва,2026-07-01,17:10:00,126,28055,1697,Red Wings
121,Москва,Тюмень,2026-07-01,14:10:00,121,28232,1697,S7 Airlines
122,Тюмень,Москва,2026-07-01,20:15:00,121,29135,1697,Победа
123,Москва,Тюмень,2026-07-01,18:15:00,124,35739,1697,Аэрофлот
124,Тюмень,Москва,2026-07-01,12:35:00,124,27945,1697,Уральские авиалинии
125,Москва,Омск,2026-07-01,08:40:00,174,38611,2232,Уральские авиалинии
126,Омск,Москва,2026-07-01,19:10:00,174,40561,2232,Победа
127,Москва,Омск,2026-07-01,10:05:00,162,46284,2232,Аэрофлот
128,Омск,Москва,2026-07-01,22:50:00,162,28970,2232,Победа
129,Москва,Омск,2026-07-01,14:55:00,167,36940,2232,Россия
130,Омск,Москва,2026-07-01,23:00:00,167,30958,2232,S7 Airlines
131,Москва,Омск,2026-07-01,17:45:00,169,36041,2232,Победа
132,Омск,Москва,2026-07-01,13:05:00,169,43498,2232,Аэрофлот
133,Москва,Новосибирск,2026-07-01,06:30:00,209,40700,2795,Аэрофлот
134,Новосибирск,Москва,2026-07-01,22:25:00,209,41945,2795,Аэрофлот
135,Москва,Новосибирск,2026-07-01,09:05:00,207,56176,2795,S7 Airlines
136,Новосибирск,Москва,2026-07-01,14:35:00,207,45060,2795,S7 Airlines
137,Москва,Новосибирск,2026-07-01,10:10:00,217,62863,2795,Аэрофлот
138,Новосибирск,Москва,2026-07-01,08:15:00,217,45316,2795,Уральские авиалинии
139,Москва,Новосибирск,2026-07-01,10:45:00,210,51206,2795,Red Wings
140,Новосибирск,Москва,2026-07-01,08:35:00,210,47108,2795,Россия
141,Москва,Новосибирск,2026-07-01,12:35:00,219,50822,2795,Россия
142,Новосибирск,Москва,2026-07-01,18:45:00,219,52425,2795,Победа
143,Москва,Новосибирск,2026-07-01,20:20:00,214,50440,2795,Россия
144,Новосибирск,Москва,2026-07-01,16:45:00,214,44870,2795,Уральские авиалинии
145,Москва,Новосибирск,2026-07-01,23:10:00,202,34048,2795,Red Wings
146,Новосибирск,Москва,2026-07-01,16:05:00,202,43621,2795,Россия
147,Москва,Томск,2026-07-01,11:50:00,211,50971,2895,Red Wings
148,Томск,Москва,2026-07-01,15:25:00,211,52970,2895,Аэрофлот
149,Москва,Томск,2026-07-01,19:35:00,213,57030,2895,S7 Airlines
150,Томск,Москва,2026-07-01,17:30:00,213,51269,2895,Аэрофлот
151,Москва,Томск,2026-07-01,23:55:00,209,38632,2895,S7 Airlines
152,Томск,Москва,2026-07-01,10:30:00,209,60982,2895,Аэрофлот
153,Москва,Кемерово,2026-07-01,07:15:00,221,47763,2990,S7 Airlines
154,Кемерово,Москва,2026-07-01,22:30:00,221,47408,2990,Аэрофлот
155,Москва,Кемерово,2026-07-01,14:50:00,234,45730,2990,Уральские авиалинии
156,Кемерово,Москва,2026-07-01,12:20:00,234,52962,2990,Уральские авиалинии
157,Москва,Кемерово,2026-07-01,15:55:00,229,46123,2990,Уральские авиалинии
158,Кемерово,Москва,2026-07-01,23:05:00,229,40498,2990,S7 Airlines
159,Москва,Кемерово,2026-07-01,17:30:00,213,47739,2990,Победа
160,Кемерово,Москва,2026-07-01,13:10:00,213,49684,2990,Уральские авиалинии
161,Москва,Барнаул,2026-07-01,06:30:00,222,38541,2918,Уральские авиалинии
162,Барнаул,Москва,2026-07-01,07:50:00,222,38235,2918,Уральские авиалинии
163,Москва,Барнаул,2026-07-01,08:40:00,213,49526,2918,Россия
164,Барнаул,Москва,2026-07-01,13:00:00,213,51624,2918,S7 Airlines
165,Москва,Барнаул,2026-07-01,17:20:00,216,48724,2918,Победа
166,Барнаул,Москва,2026-07-01,22:05:00,216,36732,2918,Уральские авиалинии
167,Москва,Барнаул,2026-07-01,19:15:00,224,61944,2918,Аэрофлот
168,Барнаул,Москва,2026-07-01,07:05:00,224,38735,2918,Победа
169,Москва,Красноярск,2026-07-01,22:35:00,262,52408,3351,Аэрофлот
170,Красноярск,Москва,2026-07-01,10:15:00,262,72659,3351,Аэрофлот
171,Москва,Иркутск,2026-07-01,08:40:00,317,76438,4203,Россия
172,Иркутск,Москва,2026-07-01,10:40:00,317,83729,4203,Россия
173,Москва,Улан-Удэ,2026-07-01,09:30:00,319,93619,4411,Аэрофлот
174,Улан-Удэ,Москва,2026-07-01,12:40:00,319,87146,4411,Аэрофлот
175,Москва,Улан-Удэ,2026-07-01,18:55:00,344,78652,4411,Победа
176,Улан-Удэ,Москва,2026-07-01,14:00:00,344,71858,4411,Уральские авиалинии
177,Москва,Чита,2026-07-01,07:35:00,364,68106,4726,S7 Airlines
178,Чита,Москва,2026-07-01,20:40:00,364,96181,4726,Аэрофлот
179,Москва,Якутск,2026-07-01,06:50:00,361,63009,4880,Red Wings
180,Якутск,Москва,2026-07-01,16:50:00,361,69770,4880,Победа
181,Москва,Якутск,2026-07-01,13:20:00,351,82171,4880,Уральские авиалинии
182,Якутск,Москва,2026-07-01,13:45:00,351,85164,4880,Россия
183,Москва,Якутск,2026-07-01,22:40:00,366,60762,4880,Уральские авиалинии
184,Якутск,Москва,2026-07-01,19:50:00,366,91314,4880,Победа
185,Москва,Хабаровск,2026-07-01,15:55:00,464,98514,6141,Уральские авиалинии
186,Хабаровск,Москва,2026-07-01,12:50:00,464,119853,6141,S7 Airlines
187,Москва,Хабаровск,2026-07-01,16:15:00,458,105717,6141,Аэрофлот
188,Хабаровск,Москва,2026-07-01,22:05:00,458,85125,6141,Россия
189,Москва,Хабаровск,2026-07-01,22:30:00,460,78250,6141,Уральские авиалинии
190,Хабаровск,Москва,2026-07-01,12:55:00,460,114349,6141,S7 Airlines
191,Москва,Владивосток,2026-07-01,11:30:00,485,109695,6415,Победа
192,Владивосток,Москва,2026-07-01,11:55:00,485,105425,6415,Red Wings
193,Москва,Владивосток,2026-07-01,23:00:00,491,81978,6415,S7 Airlines
194,Владивосток,Москва,2026-07-01,16:25:00,491,101980,6415,Red Wings
195,Москва,Южно-Сахалинск,2026-07-01,16:05:00,474,106476,6641,Россия
196,Южно-Сахалинск,Москва,2026-07-01,12:15:00,474,122220,6641,S7 Airlines
197,Москва,Южно-Сахалинск,2026-07-01,19:45:00,502,131473,6641,S7 Airlines
198,Южно-Сахалинск,Москва,2026-07-01,16:05:00,502,102332,6641,Red Wings
199,Москва,Южно-Сахалинск,2026-07-01,21:10:00,500,103527,6641,Уральские авиалинии
200,Южно-Сахалинск,Москва,2026-07-01,13:30:00,500,109005,6641,Россия
201,Москва,Сочи,2026-07-01,08:30:00,104,23721,1378,Россия
202,Сочи,Москва,2026-07-01,22:15:00,104,18220,1378,Red Wings
203,Москва,Сочи,2026-07-01,09:55:00,101,29472,1378,Аэрофлот
204,Сочи,Москва,2026-07-01,13:45:00,101,23864,1378,S7 Airlines
205,Москва,Сочи,2026-07-01,10:05:00,98,24051,1378,Red Wings
206,Сочи,Москва,2026-07-01,07:05:00,98,18479,1378,Red Wings
207,Москва,Сочи,2026-07-01,10:35:00,106,28591,1378,S7 Airlines
208,Сочи,Москва,2026-07-01,08:10:00,106,27216,1378,Аэрофлот
209,Москва,Сочи,2026-07-01,10:55:00,101,26634,1378,Россия
210,Сочи,Москва,2026-07-01,07:05:00,101,20208,1378,Победа
211,Москва,Сочи,2026-07-01,12:40:00,98,23165,1378,Россия
212,Сочи,Москва,2026-07-01,16:30:00,98,24752,1378,Аэрофлот
213,Москва,Сочи,2026-07-01,17:25:00,106,24458,1378,Аэрофлот
214,Сочи,Москва,2026-07-01,12:25:00,106,28799,1378,Аэрофлот
215,Москва,Сочи,2026-07-01,20:40:00,102,27155,1378,Аэрофлот
216,Сочи,Москва,2026-07-01,18:40:00,102,27918,1378,S7 Airlines
217,Москва,Сочи,2026-07-01,21:20:00,102,19951,1378,Уральские авиалинии
218,Сочи,Москва,2026-07-01,18:30:00,102,23657,1378,Уральские авиалинии
219,Москва,Сочи,2026-07-01,21:45:00,105,23620,1378,Аэрофлот
220,Сочи,Москва,2026-07-01,22:20:00,105,20217,1378,S7 Airlines
221,Москва,Сочи,2026-07-01,21:50:00,99,20541,1378,Победа
222,Сочи,Москва,2026-07-01,09:40:00,99,22874,1378,Red Wings
223,Москва,Сочи,2026-07-01,22:15:00,105,20548,1378,Аэрофлот
224,Сочи,Москва,2026-07-01,16:00:00,105,19764,1378,Победа
225,Москва,Краснодар,2026-07-01,07:30:00,90,18058,1195,S7 Airlines
226,Краснодар,Москва,2026-07-01,19:50:00,90,25725,1195,S7 Airlines
227,Москва,Краснодар,2026-07-01,10:55:00,86,22873,1195,S7 Airlines
228,Краснодар,Москва,2026-07-01,12:35:00,86,20009,1195,Победа
229,Москва,Краснодар,2026-07-01,11:35:00,91,22796,1195,Россия
230,Краснодар,Москва,2026-07-01,11:50:00,91,21217,1195,Red Wings
231,Москва,Краснодар,2026-07-01,12:00:00,85,19996,1195,Россия
232,Краснодар,Москва,2026-07-01,15:15:00,85,18613,1195,Победа
233,Москва,Краснодар,2026-07-01,15:40:00,93,20027,1195,Аэрофлот
234,Краснодар,Москва,2026-07-01,23:55:00,93,18183,1195,Аэрофлот
235,Москва,Краснодар,2026-07-01,18:30:00,92,21323,1195,Победа
236,Краснодар,Москва,2026-07-01,09:40:00,92,22268,1195,Россия
237,Москва,Краснодар,2026-07-01,19:20:00,86,24525,1195,Россия
238,Краснодар,Москва,2026-07-01,18:25:00,86,21496,1195,Уральские авиалинии
239,Москва,Краснодар,2026-07-01,20:35:00,89,22639,1195,Россия
240,Краснодар,Москва,2026-07-01,14:40:00,89,17886,1195,Победа
241,Москва,Краснодар,2026-07-01,20:55:00,88,24538,1195,Аэрофлот
242,Краснодар,Москва,2026-07-01,20:45:00,88,20614,1195,Россия
243,Москва,Краснодар,2026-07-01,21:00:00,90,18194,1195,Уральские авиалинии
244,Краснодар,Москва,2026-07-01,15:40:00,90,20692,1195,Аэрофлот
245,Москва,Краснодар,2026-07-01,22:45:00,92,14756,1195,Победа
246,Краснодар,Москва,2026-07-01,16:55:00,92,21712,1195,Аэрофлот
247,Москва,Краснодар,2026-07-01,22:50:00,85,15511,1195,Red Wings
248,Краснодар,Москва,2026-07-01,17:00:00,85,19594,1195,Победа
249,Москва,Ростов-на-Дону,2026-07-01,07:05:00,71,14649,956,Россия
250,Ростов-на-Дону,Москва,2026-07-01,06:35:00,71,14197,956,S7 Airlines
251,Москва,Ростов-на-Дону,2026-07-01,08:45:00,72,16263,956,Победа
252,Ростов-на-Дону,Москва,2026-07-01,07:55:00,72,15609,956,S7 Airlines
253,Москва,Ростов-на-Дону,2026-07-01,10:20:00,69,20288,956,Аэрофлот
254,Ростов-на-Дону,Москва,2026-07-01,23:50:00,69,12976,956,S7 Airlines
255,Москва,Ростов-на-Дону,2026-07-01,11:40:00,70,16903,956,Победа
256,Ростов-на-Дону,Москва,2026-07-01,23:50:00,70,13194,956,Россия
257,Москва,Ростов-на-Дону,2026-07-01,12:05:00,69,17740,956,S7 Airlines
258,Ростов-на-Дону,Москва,2026-07-01,10:00:00,69,18223,956,Red Wings
259,Москва,Ростов-на-Дону,2026-07-01,15:25:00,70,17053,956,S7 Airlines
260,Ростов-на-Дону,Москва,2026-07-01,22:55:00,70,12198,956,Уральские авиалинии
261,Москва,Ростов-на-Дону,2026-07-01,17:40:00,68,14912,956,Red Wings
262,Ростов-на-Дону,Москва,2026-07-01,21:30:00,68,14605,956,Победа
263,Москва,Ростов-на-Дону,2026-07-01,19:20:00,71,19492,956,Россия
264,Ростов-на-Дону,Москва,2026-07-01,16:15:00,71,14335,956,Победа
265,Москва,Ростов-на-Дону,2026-07-01,22:10:00,74,12263,956,Red Wings
266,Ростов-на-Дону,Москва,2026-07-01,10:00:00,74,19666,956,S7 Airlines
267,Москва,Ставрополь,2026-07-01,06:55:00,93,16524,1225,Победа
268,Ставрополь,Москва,2026-07-01,23:20:00,93,14797,1225,Уральские авиалинии
269,Москва,Ставрополь,2026-07-01,14:45:00,87,20761,1225,S7 Airlines
270,Ставрополь,Москва,2026-07-01,16:45:00,87,19769,1225,Победа
271,Москва,Ставрополь,2026-07-01,22:30:00,95,15876,1225,Россия
272,Ставрополь,Москва,2026-07-01,06:15:00,95,17436,1225,S7 Airlines
273,Москва,Минеральные Воды,2026-07-01,07:35:00,103,18879,1339,Уральские авиалинии
274,Минеральные Воды,Москва,2026-07-01,20:25:00,103,22221,1339,Red Wings
275,Москва,Минеральные Воды,2026-07-01,11:35:00,104,24048,1339,Победа
276,Минеральные Воды,Москва,2026-07-01,16:25:00,104,19210,1339,Red Wings
277,Москва,Минеральные Воды,2026-07-01,13:10:00,102,24052,1339,Аэрофлот
278,Минеральные Воды,Москва,2026-07-01,12:05:00,102,25842,1339,S7 Airlines
279,Москва,Минеральные Воды,2026-07-01,16:00:00,103,21922,1339,Уральские авиалинии
280,Минеральные Воды,Москва,2026-07-01,21:05:00,103,22422,1339,Аэрофлот
281,Москва,Минеральные Воды,2026-07-01,19:15:00,95,26048,1339,Победа
282,Минеральные Воды,Москва,2026-07-01,23:00:00,95,18482,1339,Аэрофлот
283,Москва,Минеральные Воды,2026-07-01,20:45:00,97,22382,1339,Победа
284,Минеральные Воды,Москва,2026-07-01,14:45:00,97,21659,1339,S7 Airlines
285,Москва,Минеральные Воды,2026-07-01,22:40:00,99,20531,1339,Аэрофлот
286,Минеральные Воды,Москва,2026-07-01,20:30:00,99,24972,1339,S7 Airlines
287,Москва,Махачкала,2026-07-01,10:55:00,122,29446,1608,Победа
288,Махачкала,Москва,2026-07-01,23:10:00,122,21949,1608,Россия
289,Москва,Махачкала,2026-07-01,15:50:00,119,23496,1608,Red Wings
290,Махачкала,Москва,2026-07-01,13:20:00,119,26415,1608,Победа
291,Москва,Махачкала,2026-07-01,19:35:00,120,30402,1608,Уральские авиалинии
292,Махачкала,Москва,2026-07-01,12:25:00,120,32100,1608,S7 Airlines
293,Москва,Грозный,2026-07-01,08:15:00,117,25428,1491,Победа
294,Грозный,Москва,2026-07-01,12:20:00,117,31088,1491,Аэрофлот
295,Москва,Грозный,2026-07-01,11:00:00,112,25478,1491,Уральские авиалинии
296,Грозный,Москва,2026-07-01,20:40:00,112,30813,1491,Аэрофлот
297,Москва,Грозный,2026-07-01,14:05:00,116,25203,1491,Россия
298,Грозный,Москва,2026-07-01,22:35:00,116,21814,1491,S7 Airlines
299,Москва,Грозный,2026-07-01,18:10:00,108,25273,1491,Победа
300,Грозный,Москва,2026-07-01,11:20:00,108,29600,1491,S7 Airlines
301,Москва,Калининград,2026-07-01,06:40:00,79,14653,1078,S7 Airlines
302,Калининград,Москва,2026-07-01,22:00:00,79,13426,1078,Уральские авиалинии
303,Москва,Калининград,2026-07-01,12:35:00,83,20924,1078,S7 Airlines
304,Калининград,Москва,2026-07-01,13:50:00,83,17378,1078,Red Wings
305,Москва,Калининград,2026-07-01,13:45:00,78,18178,1078,Победа
306,Калининград,Москва,2026-07-01,23:40:00,78,14846,1078,Россия
307,Москва,Калининград,2026-07-01,15:20:00,79,17118,1078,Победа
308,Калининград,Москва,2026-07-01,08:25:00,79,20401,1078,Россия
309,Москва,Калининград,2026-07-01,18:20:00,78,21780,1078,S7 Airlines
310,Калининград,Москва,2026-07-01,20:30:00,78,19392,1078,Уральские авиалинии
311,Москва,Калининград,2026-07-01,22:45:00,83,13800,1078,Red Wings
312,Калининград,Москва,2026-07-01,06:15:00,83,14136,1078,Победа
313,Москва,Архангельск,2026-07-01,11:35:00,78,18401,997,Уральские авиалинии
314,Архангельск,Москва,2026-07-01,08:15:00,78,18539,997,S7 Airlines
315,Москва,Архангельск,2026-07-01,13:50:00,75,15688,997,Red Wings
316,Архангельск,Москва,2026-07-01,19:50:00,75,21676,997,Аэрофлот
317,Москва,Архангельск,2026-07-01,18:25:00,73,19595,997,Россия
318,Архангельск,Москва,2026-07-01,14:40:00,73,16833,997,Аэрофлот
319,Москва,Архангельск,2026-07-01,20:20:00,74,18966,997,Аэрофлот
320,Архангельск,Москва,2026-07-01,08:00:00,74,19623,997,S7 Airlines
321,Москва,Архангельск,2026-07-01,21:55:00,73,15824,997,S7 Airlines
322,Архангельск,Москва,2026-07-01,21:50:00,73,14380,997,Red Wings
323,Москва,Мурманск,2026-07-01,08:05:00,115,26518,1469,Россия
324,Мурманск,Москва,2026-07-01,12:00:00,115,29469,1469,Аэрофлот
325,Москва,Мурманск,2026-07-01,14:50:00,115,24711,1469,S7 Airlines
326,Мурманск,Москва,2026-07-01,13:40:00,115,29244,1469,Аэрофлот
327,Москва,Мурманск,2026-07-01,19:55:00,115,27212,1469,Победа
328,Мурманск,Москва,2026-07-01,13:35:00,115,27009,1469,Аэрофлот
329,Москва,Сыктывкар,2026-07-01,08:35:00,76,20048,1003,Аэрофлот
330,Сыктывкар,Москва,2026-07-01,18:45:00,76,19203,1003,Аэрофлот
331,Москва,Сыктывкар,2026-07-01,15:40:00,72,14838,1003,Победа
332,Сыктывкар,Москва,2026-07-01,18:05:00,72,18380,1003,S7 Airlines
333,Москва,Сыктывкар,2026-07-01,23:30:00,73,11807,1003,Red Wings
334,Сыктывкар,Москва,2026-07-01,10:55:00,73,19177,1003,Победа
335,Санкт-Петербург,Нижний Новгород,2026-07-01,06:00:00,69,12097,887,S7 Airlines
336,Нижний Новгород,Санкт-Петербург,2026-07-01,08:50:00,69,17003,887,Аэрофлот
337,Санкт-Петербург,Нижний Новгород,2026-07-01,08:45:00,63,16765,887,S7 Airlines
338,Нижний Новгород,Санкт-Петербург,2026-07-01,11:40:00,63,17188,887,Аэрофлот
339,Санкт-Петербург,Нижний Новгород,2026-07-01,09:05:00,68,15720,887,Уральские авиалинии
340,Нижний Новгород,Санкт-Петербург,2026-07-01,16:10:00,68,14895,887,Россия
341,Санкт-Петербург,Нижний Новгород,2026-07-01,11:20:00,66,15868,887,Red Wings
342,Нижний Новгород,Санкт-Петербург,2026-07-01,10:40:00,66,19527,887,Аэрофлот
343,Санкт-Петербург,Нижний Новгород,2026-07-01,11:50:00,67,15228,887,Red Wings
344,Нижний Новгород,Санкт-Петербург,2026-07-01,06:35:00,67,14340,887,Аэрофлот
345,Санкт-Петербург,Нижний Новгород,2026-07-01,17:30:00,63,14153,887,Уральские авиалинии
346,Нижний Новгород,Санкт-Петербург,2026-07-01,21:15:00,63,12807,887,Россия
